price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,mean_long_distance,mean_lat_distance,distance
221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,1955,98178,47.5112,-122.257,1340,5650,-0.032858000000018706,-0.10658620000000951,0.11153594126757195
538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,-0.09485800000001632,0.1032137999999847,0.14018248347935608
180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,1933,98028,47.7379,-122.233,2720,8062,-0.008858000000017796,0.1201137999999915,0.12043998137843709
604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,1965,98136,47.5208,-122.393,1360,5000,-0.16885800000001439,-0.09698620000001057,0.19472890682804878
510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,1987,98074,47.6168,-122.045,1800,7503,0.1791419999999846,-0.000986200000014037,0.1791447145590249
1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,2001,98053,47.6561,-122.005,4760,101930,0.21914199999999084,0.038313799999990295,0.22246609502221962
257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,1995,98003,47.3097,-122.327,2238,6819,-0.10285800000001188,-0.3080862000000124,0.3248028244865646
291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,1963,98198,47.4095,-122.315,1650,9711,-0.09085800000001143,-0.20828620000001052,0.2272406593777761
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,1960,98146,47.5123,-122.337,1780,8113,-0.112858000000017,-0.10548620000000852,0.15448063488491248
323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,2003,98038,47.3684,-122.031,2390,7570,0.19314199999998038,-0.24938620000001066,0.31543194022552273
662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,1965,98007,47.6007,-122.145,2210,8925,0.07914199999999028,-0.01708620000000849,0.0809653901024305
468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,1942,98115,47.69,-122.292,1330,6000,-0.0678580000000153,0.0722137999999859,0.0990935975451494
310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,1927,98028,47.7558,-122.229,1780,12697,-0.0048580000000129075,0.13801379999998886,0.13809927282370843
400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,1977,98074,47.6127,-122.045,1370,10208,0.1791419999999846,-0.00508620000001514,0.17921418915486192
530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,1900,98107,47.67,-122.394,1360,4850,-0.16985800000001916,0.052213799999989874,0.17770205703492983
650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,1979,98126,47.5714,-122.375,2140,4000,-0.1508580000000137,-0.04638620000001481,0.1578284375974289
395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,1994,98019,47.7277,-121.962,1890,14018,0.262141999999983,0.10991379999998685,0.2842524786073609
485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,1916,98103,47.6648,-122.343,1610,4300,-0.11885800000001723,0.04701379999998778,0.12781831462839333
